rna325	gene110
rna2358	gene741
rna2359	gene741
rna2356	gene741
rna2360	gene741
rna2357	gene741
rna43097	gene20974
rna43098	gene20974
rna43099	gene20974
rna43102	gene20974
rna43101	gene20974
rna43100	gene20974
rna43103	gene20974
rna43104	gene20974
rna7447	gene2265
rna7448	gene2265
rna57258	gene29830
rna57259	gene29830
rna11079	gene3381
rna11080	gene3381
rna11081	gene3381
rna47724	gene23877
rna59770	gene31436
rna48046	gene24079
rna48047	gene24079
rna48048	gene24079
rna48049	gene24079
rna48050	gene24079
rna54519	gene28122
rna25992	gene8047
rna25993	gene8047
rna57945	gene30248
rna17070	gene5258
rna17069	gene5258
rna44775	gene21996
rna44776	gene21996
rna44777	gene21996
rna44778	gene21996
rna44779	gene21996
rna44780	gene21996
rna44781	gene21996
rna23021	gene7137
rna23022	gene7137
rna23023	gene7137
rna23024	gene7137
rna61001	gene32214
rna61000	gene32214
rna60999	gene32214
rna41179	gene19808
rna22600	gene7011
rna22601	gene7011
rna49635	gene25004
rna49636	gene25004
rna57506	gene29981
rna28308	gene9224
rna62701	gene33201
rna12209	gene3730
rna12210	gene3730
rna12208	gene3730
rna12207	gene3730
rna47002	gene23446
rna40411	gene19313
rna60176	gene31697
rna43412	gene21164
rna17658	gene5445
rna17657	gene5445
rna59897	gene31519
rna59898	gene31519
rna12327	gene3771
rna12326	gene3771
rna12328	gene3771
rna19301	gene5981
rna19300	gene5981
rna19302	gene5981
rna19303	gene5981
rna39168	gene18437
rna39169	gene18437
rna39170	gene18437
rna14021	gene4298
rna14022	gene4298
rna14023	gene4298
rna14020	gene4298
rna18906	gene5846
rna18905	gene5846
rna55919	gene28971
rna11247	gene3424
rna11246	gene3424
rna11248	gene3424
rna11244	gene3424
rna11245	gene3424
rna39203	gene18466
rna39204	gene18466
rna39205	gene18466
rna62040	gene32817
rna62041	gene32817
rna49006	gene24631
rna49007	gene24631
rna19078	gene5901
rna19079	gene5901
rna19077	gene5901
rna61913	gene32749
rna55182	gene28524
rna49998	gene25252
rna63827	gene33881
rna36983	gene17042
rna43886	gene21465
rna47606	gene23804
rna54129	gene27871
rna54016	gene27789
rna60517	gene31918
rna34254	gene15079
rna49663	gene25027
rna50792	gene25750
rna57071	gene29702
rna30578	gene11460
rna34266	gene15091
rna46395	gene23039
rna46396	gene23039
rna24885	gene7730
rna24887	gene7730
rna24886	gene7730
rna24888	gene7730
rna24883	gene7730
rna24884	gene7730
rna62756	gene33233
rna39467	gene18663
