motif	factor
Mixed_Average_36	HOXB7
Mixed_Average_36	HOXB8
Mixed_Average_36	HOXB9
Mixed_Average_36	HOXC10
Mixed_Average_36	HOXC3
Mixed_Average_36	HOXC4
Mixed_Average_36	HOXC5
Mixed_Average_36	HOXC6
Mixed_Average_36	HOXC8
Mixed_Average_36	HOXC9
Mixed_Average_36	HOXD1
Mixed_Average_36	HOXD10
Mixed_Average_36	HOXD3
Mixed_Average_36	HOXD4
Mixed_Average_36	HOXD8
Mixed_Average_36	HOXD9
Mixed_Average_36	ISX
Mixed_Average_36	LBX1
Mixed_Average_36	LHX1
Mixed_Average_36	LHX2
Mixed_Average_36	LHX3
Mixed_Average_36	LHX4
Mixed_Average_36	LHX5
Mixed_Average_36	LHX6
Mixed_Average_36	LHX8
Mixed_Average_36	LHX9
Mixed_Average_36	LMX1A
Mixed_Average_36	LMX1B.1
Mixed_Average_36	LMX1B.2
Mixed_Average_36	MEOX2
Mixed_Average_36	MIXL1
Mixed_Average_36	MNX1
Mixed_Average_36	MSX1
Mixed_Average_36	MSX2
Mixed_Average_36	NKX2-1
Mixed_Average_36	NKX2-2
Mixed_Average_36	NKX2-3
Mixed_Average_36	NKX2-4
Mixed_Average_36	NKX2-5
Mixed_Average_36	NKX2-6
Mixed_Average_36	NKX2-8
Mixed_Average_36	NKX3-1
Mixed_Average_36	NKX3-2
Mixed_Average_36	OTP
Mixed_Average_36	PAX3
Mixed_Average_36	PDX1
Mixed_Average_36	PHOX2A
Mixed_Average_36	PHOX2B
Mixed_Average_36	POU6F1
Mixed_Average_36	PRRX1
Mixed_Average_36	PRRX2
Mixed_Average_36	RAX
Mixed_Average_36	RAX2
Mixed_Average_36	SEBOX
Mixed_Average_36	SHOX
Mixed_Average_36	SHOX2
Mixed_Average_36	UNCX
Mixed_Average_36	VAX1
Mixed_Average_36	VAX2
Mixed_Average_36	VSX1
Mixed_Average_36	VSX2
Mixed_Average_36	VTN
Mixed_Average_36	ZFHX2
Homeodomain_POU_Average_48	POU4F1
Homeodomain_POU_Average_48	POU4F1.2
Homeodomain_POU_Average_48	POU4F2
Homeodomain_POU_Average_48	POU6F1
Homeodomain_POU_Average_48	POU6F2
ARID_BRIGHT_Average_1	ARID3A
ARID_BRIGHT_Average_1	ARID3B
Homeodomain_Average_395	ISL1
Homeodomain_Average_395	ISL2
Homeodomain_M5976_1.01	BARX1
Homeodomain_M5976_1.01	BARX2
Homeodomain_POU_M1143_1.01	POU2F1
Homeodomain_Average_349	BARHL1
Homeodomain_Average_349	BARHL2
Homeodomain_Average_349	NKX2-1
Homeodomain_Average_349	NKX2-2
Homeodomain_Average_349	NKX2-3
Homeodomain_Average_349	NKX2-4
Homeodomain_Average_349	NKX2-5
Homeodomain_Average_349	NKX2-6
Homeodomain_Average_349	NKX2-8
Homeodomain_Average_349	NKX3-1
Homeodomain_Average_349	NKX3-2
Homeodomain_Paired_box_M3586_1.01	PAX4
Homeodomain_POU_M3945_1.01	POU3F1
Homeodomain_POU_M3945_1.01	POU3F4
Homeodomain_Average_41	HESX1
Homeodomain_Average_41	LHX2
Homeodomain_Average_41	LHX9
Homeodomain_Average_261	BARX1
Homeodomain_Average_261	MSX1
Homeodomain_Average_261	MSX2
Homeodomain_Average_34	BARHL1
Homeodomain_Average_34	BARHL2
Homeodomain_Average_314	HOXA2
Homeodomain_Average_314	HOXA3
Homeodomain_Average_314	HOXA5
Homeodomain_Average_314	HOXA6
Homeodomain_Average_314	HOXA7
Homeodomain_Average_314	HOXB2
Homeodomain_Average_314	HOXB3
Homeodomain_Average_314	HOXB4
Homeodomain_Average_314	HOXB5
Homeodomain_Average_314	HOXB7
Homeodomain_Average_314	HOXC3
Homeodomain_Average_314	HOXC4
Homeodomain_Average_314	HOXC5
Homeodomain_Average_314	HOXD3
Homeodomain_Average_314	HOXD4
Homeodomain_Average_314	LHX6
Homeodomain_Average_314	LHX8
Homeodomain_Average_314	PDX1
Homeodomain_POU_M2879_1.01	POU3F1
Homeodomain_POU_M2879_1.01	POU3F2
Homeodomain_POU_M2879_1.01	POU3F4
Homeodomain_M6007_1.01	DLX1
Homeodomain_M6007_1.01	DLX2
Homeodomain_M6007_1.01	DLX3
Homeodomain_M6007_1.01	DLX4
Homeodomain_M6007_1.01	DLX5
Homeodomain_M6007_1.01	DLX6
Homeodomain_Average_289	NKX2-3
Homeodomain_Average_289	NKX3-1
Homeodomain_Average_289	NKX3-2
Homeodomain_POU_M1137_1.01	POU2F1
Homeodomain_POU_M1137_1.01	POU3F4
Homeodomain_M5336_1.01	HMBOX1
Mixed_Average_47	ARID5B
Mixed_Average_47	FOXA1
Mixed_Average_47	FOXA2
Mixed_Average_47	FOXA4
Mixed_Average_47	FOXB1
Mixed_Average_47	FOXB2
Mixed_Average_47	FOXC1
Mixed_Average_47	FOXC2
Mixed_Average_47	FOXD1
Mixed_Average_47	FOXD2
Mixed_Average_47	FOXD3
Mixed_Average_47	FOXD4L1.1
Mixed_Average_47	FOXD4L1.2
Mixed_Average_47	FOXE1
Mixed_Average_47	FOXE3
Mixed_Average_47	FOXF1
Mixed_Average_47	FOXF2
Mixed_Average_47	FOXI1
Mixed_Average_47	FOXI2
Mixed_Average_47	FOXI4.1
Mixed_Average_47	FOXI4.2
Mixed_Average_47	FOXJ1
Mixed_Average_47	FOXJ1.2
Mixed_Average_47	FOXJ2
Mixed_Average_47	FOXJ3
Mixed_Average_47	FOXK2
