Motif	Factor	Evidence	Curated
bZIP_Average_145	THIBZ	ChIP-seq	Y
bZIP_M0309_1.01	NFIL3	ChIP-seq	Y
bZIP_M0309_1.01	THIBZ	ChIP-seq	Y
bZIP_Average_153	CEBPA	ChIP-seq	Y
bZIP_Average_153	CEBPB	ChIP-seq	Y
bZIP_Average_153	CEBPD	ChIP-seq	Y
bZIP_Average_153	CEBPE	ChIP-seq	Y
bZIP_Average_153	CEBPG	ChIP-seq	Y
bZIP_M2910_1.01	CEBPA	ChIP-seq	Y
bZIP_M2910_1.01	CEBPB	ChIP-seq	Y
bZIP_M2910_1.01	CEBPD	ChIP-seq	Y
Mixed_Average_14	IRF5	ChIP-seq	Y
Homeodomain_M6344_1.01	TLX1	ChIP-seq	Y
Homeodomain_M6344_1.01	TLX3	ChIP-seq	Y
Homeodomain_M6345_1.01	TLX1	ChIP-seq	Y
Homeodomain_M6345_1.01	TLX3	ChIP-seq	Y
Unknown_M6097_1.01	HLTF	ChIP-seq	Y
HSF_Average_6	HSF1	ChIP-seq	Y
HSF_Average_6	HSF2	ChIP-seq	Y
HSF_Average_6	HSF4	ChIP-seq	Y
HSF_Average_8	HSF1	ChIP-seq	Y
HSF_Average_8	HSF2	ChIP-seq	Y
HSF_Average_8	HSF4	ChIP-seq	Y
C2H2_ZF_M0402_1.01	ZBTB12	ChIP-seq	Y
RFX_Average_29	RFX1	ChIP-seq	Y
RFX_Average_29	RFX2	ChIP-seq	Y
RFX_Average_29	RFX3	ChIP-seq	Y
RFX_Average_29	RFX4	ChIP-seq	Y
RFX_Average_29	RFX5	ChIP-seq	Y
RFX_Average_29	RFX6	ChIP-seq	Y
RFX_Average_29	RFX7	ChIP-seq	Y
Rel_M5477_1.01	NFATC1	ChIP-seq	Y
Rel_M5477_1.01	NFATC2	ChIP-seq	Y
Rel_M5477_1.01	NFATC3	ChIP-seq	Y
Rel_M5477_1.01	NFATC4	ChIP-seq	Y
Mixed_Average_13	SOX1	ChIP-seq	Y
Mixed_Average_13	SOX14	ChIP-seq	Y
Mixed_Average_13	SOX2	ChIP-seq	Y
